genus_name,scientific_name,family_name,order_name,class_name,phylum_name,kingdom_name,infra_name,population,category
Aaadonta,Aaadonta angaurana,ENDODONTIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Aaadonta,Aaadonta constricta,ENDODONTIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,EN
Aaadonta,Aaadonta fuscozonata,ENDODONTIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,EN
Aaadonta,Aaadonta irregularis,ENDODONTIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Aaadonta,Aaadonta kinlochi,ENDODONTIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Aaadonta,Aaadonta pelewana,ENDODONTIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,CR
Aaptosyax,Aaptosyax grypus,CYPRINIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,CR
Abrocoma,Abrocoma boliviensis,ABROCOMIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,CR
Abronia,Abronia montecristoi,ANGUIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,,,EN
Acanthaeschna,Acanthaeschna victoria,AESHNIDAE,ODONATA,INSECTA,ARTHROPODA,ANIMALIA,,,EN
Acanthinula,Acanthinula spinifera,VALLONIIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,DD
Mirogrex,Mirogrex hulensis,CYPRINIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,EX
Acanthochelys,Acanthochelys macrocephala,CHELIDAE,TESTUDINES,REPTILIA,CHORDATA,ANIMALIA,,,LR/nt
Acanthochelys,Acanthochelys pallidipectoris,CHELIDAE,TESTUDINES,REPTILIA,CHORDATA,ANIMALIA,,,EN
Acanthochelys,Acanthochelys spixii,CHELIDAE,TESTUDINES,REPTILIA,CHORDATA,ANIMALIA,,,LR/nt
Acanthochelys,Acanthochelys radiolata,CHELIDAE,TESTUDINES,REPTILIA,CHORDATA,ANIMALIA,,,LR/nt
Acanthocobitis,Acanthocobitis urophthalmus,BALITORIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LR/cd
Acanthocyclops,Acanthocyclops hypogeus,CYCLOPIDAE,CYCLOPOIDA,MAXILLOPODA,ARTHROPODA,ANIMALIA,,,VU
